FIPS,CBSA
46013,10100
46045,10100
53027,10140
48059,10180
48253,10180
48441,10180
40123,10220
26091,10300
72003,10380
72005,10380
72011,10380
72071,10380
72081,10380
72099,10380
72117,10380
72131,10380
72141,10380
39133,10420
39153,10420
35035,10460
13095,10500
13177,10500
13273,10500
13321,10500
41043,10540
36001,10580
36083,10580
36091,10580
36093,10580
36095,10580
37167,10620
27047,10660
01095,10700
35001,10740
35043,10740
35057,10740
35061,10740
01037,10760
01123,10760
22043,10780
22079,10780
27041,10820
48131,10860
48249,10860
34041,10900
42025,10900
42077,10900
42095,10900
26057,10940
26007,10980
42013,11020
40065,11060
48011,11100
48065,11100
48359,11100
48375,11100
48381,11100
13249,11140
13261,11140
19015,11180
19169,11180
36057,11220
02020,11260
02170,11260
48003,11380
18151,11420
26161,11460
01015,11500
55015,11540
55087,11540
12027,11580
40019,11620
40085,11620
72013,11640
72027,11640
72065,11640
72115,11640
05019,11660
37021,11700
37087,11700
37089,11700
37115,11700
39005,11740
39007,11780
41007,11820
20005,11860
39009,11900
47107,11940
48213,11980
13059,12020
13195,12020
13219,12020
13221,12020
13013,12060
13015,12060
13035,12060
13045,12060
13057,12060
13063,12060
13067,12060
13077,12060
13085,12060
13089,12060
13097,12060
13113,12060
13117,12060
13121,12060
13135,12060
13143,12060
13149,12060
13151,12060
13159,12060
13171,12060
13199,12060
13211,12060
13217,12060
13223,12060
13227,12060
13231,12060
13247,12060
13255,12060
13297,12060
34001,12100
01053,12120
18033,12140
36011,12180
01081,12220
13033,12260
13073,12260
13181,12260
13189,12260
13245,12260
45003,12260
45037,12260
23011,12300
27099,12380
48021,12420
48055,12420
48209,12420
48453,12420
48491,12420
13087,12460
06029,12540
24003,12580
24005,12580
24013,12580
24025,12580
24027,12580
24035,12580
24510,12580
23019,12620
55111,12660
21179,12680
25001,12700
50023,12740
40147,12780
36037,12860
05063,12900
05135,12900
22005,12940
22007,12940
22033,12940
22037,12940
22047,12940
22063,12940
22077,12940
22091,12940
22121,12940
22125,12940
26025,12980
26017,13020
48321,13060
31067,13100
48199,13140
48245,13140
48361,13140
55027,13180
54019,13220
54081,13220
18093,13260
48025,13300
39091,13340
53073,13380
27007,13420
41017,13460
45069,13500
50003,13540
33007,13620
26107,13660
48227,13700
51195,13720
51720,13720
30009,13740
30095,13740
30111,13740
36007,13780
36107,13780
01007,13820
01009,13820
01021,13820
01073,13820
01115,13820
01117,13820
38015,13900
38059,13900
38065,13900
16011,13940
51071,13980
51121,13980
51155,13980
51750,13980
17113,14010
18105,14020
18119,14020
42037,14100
42093,14100
51021,14140
51185,14140
54055,14140
05093,14180
22117,14220
16001,14260
16015,14260
16027,14260
16045,14260
16073,14260
48147,14300
37189,14380
48233,14420
25021,14460
25023,14460
25025,14460
25009,14460
25017,14460
33015,14460
33017,14460
08013,14500
21003,14540
21031,14540
21061,14540
21227,14540
30031,14580
42083,14620
27021,14660
27035,14660
29213,14700
08117,14720
53035,14740
48477,14780
37175,14820
09001,14860
28085,15020
41015,15060
46011,15100
47075,15140
48061,15180
48049,15220
13025,15260
13127,15260
13191,15260
39033,15340
36029,15380
36063,15380
16031,15420
16067,15420
17071,15460
19057,15460
37001,15500
50007,15540
50011,15540
50013,15540
30093,15580
26113,15620
26165,15620
13129,15660
24037,15680
24019,15700
39059,15740
05013,15780
05103,15780
21087,15820
21217,15820
08043,15860
39019,15940
39151,15940
12071,15980
17003,16020
29017,16020
29031,16020
17077,16060
17087,16060
17199,16060
35015,16100
19027,16140
32510,16180
56025,16220
49021,16260
19011,16300
19105,16300
19113,16300
13233,16340
39107,16380
21177,16420
17121,16460
53041,16500
42055,16540
17019,16580
17147,16580
54005,16620
54015,16620
54035,16620
54039,16620
54043,16620
17029,16660
17035,16660
45015,16700
45019,16700
45035,16700
37007,16740
37025,16740
37071,16740
37097,16740
37109,16740
37119,16740
37159,16740
37179,16740
45023,16740
45057,16740
45091,16740
51003,16820
51065,16820
51079,16820
51125,16820
51540,16820
13047,16860
13083,16860
13295,16860
47065,16860
47115,16860
47153,16860
56021,16940
17031,16980
17043,16980
17063,16980
17111,16980
17197,16980
17037,16980
17089,16980
17093,16980
18073,16980
18089,16980
18111,16980
18127,16980
17097,16980
55059,16980
06007,17020
39141,17060
18029,17140
18047,17140
18115,17140
18161,17140
21015,17140
21023,17140
21037,17140
21077,17140
21081,17140
21117,17140
21191,17140
39015,17140
39017,17140
39025,17140
39061,17140
39165,17140
54017,17220
54033,17220
54091,17220
28027,17260
21047,17300
21221,17300
47125,17300
47161,17300
06033,17340
28011,17380
47011,17420
47139,17420
39035,17460
39055,17460
39085,17460
39093,17460
39103,17460
12051,17500
19045,17540
35009,17580
72043,17620
72123,17640
16055,17660
20125,17700
26023,17740
48041,17780
48051,17780
48395,17780
08041,17820
08119,17820
29019,17860
29053,17860
29089,17860
45017,17900
45039,17900
45055,17900
45063,17900
45079,17900
45081,17900
